customer_id,first_name,last_name,email,phone,city,state,country,postal_code,segment,registration_date,is_active,_ingested_at,_source_file,rejection_reason_code,quarantined_at
1025,Gautami,Chander,invalid_user_at_domain_com,4332003791,Gurugram,North Province,India,693676,Occasional,2026-01-13,True,2026-09-02 23:22:46.134668,customers.csv,ERR_MALFORMED_EMAIL_SYNTAX,2026-09-02 23:28:07.297579+05:30
1029,Lopa,Bahri,invalid_user_at_domain_com,07054668893,Ahmedabad,West Province,India,346706,Regular,2023-05-06,True,2026-09-02 23:22:46.134668,customers.csv,ERR_MALFORMED_EMAIL_SYNTAX,2026-09-02 23:28:07.297579+05:30
1129,Hiral,Bera,invalid_user_at_domain_com,03159996504,Goa,West Province,India,735866,Occasional,2022-01-21,True,2026-09-02 23:22:46.134668,customers.csv,ERR_MALFORMED_EMAIL_SYNTAX,2026-09-02 23:28:07.297579+05:30
1271,Ekta,Subramanian,invalid_user_at_domain_com,09194096105,Mumbai,West Province,India,661390,Occasional,2025-08-13,True,2026-09-02 23:22:46.134668,customers.csv,ERR_MALFORMED_EMAIL_SYNTAX,2026-09-02 23:28:07.297579+05:30
1311,Jeevika,Bandi,invalid_user_at_domain_com,7519712847,Pune,West Province,India,891371,Premium,2026-02-10,True,2026-09-02 23:22:46.134668,customers.csv,ERR_MALFORMED_EMAIL_SYNTAX,2026-09-02 23:28:07.297579+05:30
1339,Amara,Thakur,invalid_user_at_domain_com,04015577881,Surat,West Province,India,884795,Premium,2025-02-03,True,2026-09-02 23:22:46.134668,customers.csv,ERR_MALFORMED_EMAIL_SYNTAX,2026-09-02 23:28:07.297579+05:30
1363,Chavvi,Char,invalid_user_at_domain_com,8773477848,Patna,East Province,India,880061,Corporate,2025-01-04,True,2026-09-02 23:22:46.134668,customers.csv,ERR_MALFORMED_EMAIL_SYNTAX,2026-09-02 23:28:07.297579+05:30
1606,Hritik,Bath,invalid_user_at_domain_com,5767647229,Surat,West Province,India,209957,Regular,2022-09-05,True,2026-09-02 23:22:46.134668,customers.csv,ERR_MALFORMED_EMAIL_SYNTAX,2026-09-02 23:28:07.297579+05:30
1662,Ryan,Naidu,invalid_user_at_domain_com,01039773973,Patna,East Province,India,781952,Regular,2023-01-18,True,2026-09-02 23:22:46.134668,customers.csv,ERR_MALFORMED_EMAIL_SYNTAX,2026-09-02 23:28:07.297579+05:30
1707,Edhitha,Mohan,invalid_user_at_domain_com,1659726347,Mysuru,South Province,India,575225,VIP,2024-12-30,True,2026-09-02 23:22:46.134668,customers.csv,ERR_MALFORMED_EMAIL_SYNTAX,2026-09-02 23:28:07.297579+05:30
1751,Geetika,Hora,invalid_user_at_domain_com,06248433797,Kochi,South Province,India,627051,Occasional,2024-09-26,True,2026-09-02 23:22:46.134668,customers.csv,ERR_MALFORMED_EMAIL_SYNTAX,2026-09-02 23:28:07.297579+05:30
1954,Maanav,Chatterjee,invalid_user_at_domain_com,+917468135926,Hyderabad,South Province,India,486989,VIP,2024-05-10,True,2026-09-02 23:22:46.134668,customers.csv,ERR_MALFORMED_EMAIL_SYNTAX,2026-09-02 23:28:07.297579+05:30
1965,Parth,Mukherjee,invalid_user_at_domain_com,+918385454006,Bengaluru,South Province,India,454752,VIP,2022-03-28,True,2026-09-02 23:22:46.134668,customers.csv,ERR_MALFORMED_EMAIL_SYNTAX,2026-09-02 23:28:07.297579+05:30
1995,Fiyaz,Goel,invalid_user_at_domain_com,+912275950026,Goa,West Province,India,151532,Premium,2023-05-08,True,2026-09-02 23:22:46.134668,customers.csv,ERR_MALFORMED_EMAIL_SYNTAX,2026-09-02 23:28:07.297579+05:30
2186,Anamika,Chana,invalid_user_at_domain_com,0759659992,Ahmedabad,West Province,India,123763,Regular,2022-11-28,True,2026-09-02 23:22:46.134668,customers.csv,ERR_MALFORMED_EMAIL_SYNTAX,2026-09-02 23:28:07.297579+05:30
2240,Bhavani,Apte,invalid_user_at_domain_com,+910454184039,Jabalpur,Central Province,India,218039,Premium,2023-03-20,True,2026-09-02 23:22:46.134668,customers.csv,ERR_MALFORMED_EMAIL_SYNTAX,2026-09-02 23:28:07.297579+05:30
2294,Jhalak,Upadhyay,invalid_user_at_domain_com,+911141470123,Chennai,South Province,India,036871,Regular,2023-01-16,True,2026-09-02 23:22:46.134668,customers.csv,ERR_MALFORMED_EMAIL_SYNTAX,2026-09-02 23:28:07.297579+05:30
2465,Jyoti,Din,invalid_user_at_domain_com,07586703656,Chandigarh,North Province,India,036344,Regular,2024-12-30,True,2026-09-02 23:22:46.134668,customers.csv,ERR_MALFORMED_EMAIL_SYNTAX,2026-09-02 23:28:07.297579+05:30
2669,Zayyan,Som,invalid_user_at_domain_com,+914617275804,Kochi,South Province,India,292676,Occasional,2023-05-26,True,2026-09-02 23:22:46.134668,customers.csv,ERR_MALFORMED_EMAIL_SYNTAX,2026-09-02 23:28:07.297579+05:30
2715,Vedant,Gaba,invalid_user_at_domain_com,08971001707,Ranchi,East Province,India,294576,Regular,2025-06-02,True,2026-09-02 23:22:46.134668,customers.csv,ERR_MALFORMED_EMAIL_SYNTAX,2026-09-02 23:28:07.297579+05:30
2912,Yasti,Deshmukh,invalid_user_at_domain_com,08627553779,Pune,West Province,India,854609,Premium,2025-11-02,True,2026-09-02 23:22:46.134668,customers.csv,ERR_MALFORMED_EMAIL_SYNTAX,2026-09-02 23:28:07.297579+05:30
3135,Wyatt,De,invalid_user_at_domain_com,0254616794,Goa,West Province,India,778189,Occasional,2025-10-27,True,2026-09-02 23:22:46.134668,customers.csv,ERR_MALFORMED_EMAIL_SYNTAX,2026-09-02 23:28:07.297579+05:30
3136,Zansi,Saraf,invalid_user_at_domain_com,6139594592,Bhubaneswar,East Province,India,185723,Regular,2025-07-26,True,2026-09-02 23:22:46.134668,customers.csv,ERR_MALFORMED_EMAIL_SYNTAX,2026-09-02 23:28:07.297579+05:30
3207,Ucchal,Balay,invalid_user_at_domain_com,0317211359,Noida,North Province,India,433315,Regular,2023-07-16,True,2026-09-02 23:22:46.134668,customers.csv,ERR_MALFORMED_EMAIL_SYNTAX,2026-09-02 23:28:07.297579+05:30
3396,Nitesh,Comar,invalid_user_at_domain_com,+919339691082,Kolkata,East Province,India,561206,Regular,2022-11-26,True,2026-09-02 23:22:46.134668,customers.csv,ERR_MALFORMED_EMAIL_SYNTAX,2026-09-02 23:28:07.297579+05:30
3409,Jasmit,Som,invalid_user_at_domain_com,1656088041,Jaipur,North Province,India,244628,Premium,2026-01-28,True,2026-09-02 23:22:46.134668,customers.csv,ERR_MALFORMED_EMAIL_SYNTAX,2026-09-02 23:28:07.297579+05:30
3440,Om,Balasubramanian,invalid_user_at_domain_com,06899108587,Siliguri,East Province,India,707501,Occasional,2022-12-19,True,2026-09-02 23:22:46.134668,customers.csv,ERR_MALFORMED_EMAIL_SYNTAX,2026-09-02 23:28:07.297579+05:30
3464,Mitali,Swaminathan,invalid_user_at_domain_com,+912464471060,Ahmedabad,West Province,India,067377,Premium,2026-01-06,True,2026-09-02 23:22:46.134668,customers.csv,ERR_MALFORMED_EMAIL_SYNTAX,2026-09-02 23:28:07.297579+05:30
